Date,Price
2015-01-02,114.08
2015-01-05,115.8
2015-01-06,117.12
2015-01-07,116.43
2015-01-08,115.94
2015-01-09,117.26
2015-01-12,118.56
2015-01-13,118.16
2015-01-14,117.97
2015-01-15,120.94
2015-01-16,122.52
2015-01-20,124.2
2015-01-21,124.23
2015-01-22,125.23
2015-01-23,124.23
2015-01-26,122.99
2015-01-27,124.4
2015-01-28,123.42
2015-01-29,120.76
2015-01-30,123.45
2015-02-02,122.42
2015-02-03,121.05
2015-02-04,121.58
2015-02-05,121.79
2015-02-06,118.64
2015-02-09,119.17
2015-02-10,118.47
2015-02-11,117.07
2015-02-12,117.34
2015-02-13,117.98
2015-02-17,116.01
2015-02-18,116.34
2015-02-19,115.94
2015-02-20,115.28
2015-02-23,115.43
2015-02-24,115.26
2015-02-25,115.7
2015-02-26,116.07
2015-02-27,116.16
2015-03-02,115.68
2015-03-03,115.47
2015-03-04,115.11
2015-03-05,115.0
2015-03-06,111.86
2015-03-09,111.97
2015-03-10,111.42
2015-03-11,110.75
2015-03-12,110.72
2015-03-13,110.88
2015-03-16,110.81
2015-03-17,110.21
2015-03-18,112.37
2015-03-19,112.29
2015-03-20,113.57
2015-03-23,114.29
2015-03-24,114.57
2015-03-25,114.73
2015-03-26,115.48
2015-03-27,115.06
2015-03-30,113.75
2015-03-31,113.66
2015-04-01,115.6
2015-04-02,115.28
2015-04-06,116.69
2015-04-07,116.11
2015-04-08,115.47
2015-04-09,114.67
2015-04-10,115.97
2015-04-13,115.14
2015-04-14,114.44
2015-04-15,115.43
2015-04-16,115.03
2015-04-17,115.6
2015-04-20,114.72
2015-04-21,115.38
2015-04-22,113.83
2015-04-23,114.66
2015-04-24,113.05
2015-04-27,115.33
2015-04-28,116.33
2015-04-29,115.51
2015-04-30,113.47
2015-05-01,113.08
2015-05-04,114.1
2015-05-05,114.42
2015-05-06,114.36
2015-05-07,113.42
2015-05-08,113.97
2015-05-11,113.53
2015-05-12,114.5
2015-05-13,116.55
2015-05-14,117.18
2015-05-15,117.53
2015-05-18,117.52
2015-05-19,115.89
2015-05-20,116.08
2015-05-21,115.69
2015-05-22,115.6
2015-05-26,113.91
2015-05-27,113.89
2015-05-28,114.02
2015-05-29,114.1
2015-06-01,114.0
2015-06-02,114.46
2015-06-03,113.64
2015-06-04,112.84
2015-06-05,112.24
2015-06-08,112.57
2015-06-09,112.82
2015-06-10,113.78
2015-06-11,113.26
2015-06-12,113.23
2015-06-15,113.73
2015-06-16,113.32
2015-06-17,113.85
2015-06-18,115.32
2015-06-19,115.12
2015-06-22,113.64
2015-06-23,112.89
2015-06-24,112.59
2015-06-25,112.44
2015-06-26,112.56
2015-06-29,113.07
2015-06-30,112.37
2015-07-01,111.98
2015-07-02,111.76
2015-07-06,112.06
2015-07-07,110.76
2015-07-08,111.09
2015-07-09,111.36
2015-07-10,111.49
2015-07-13,110.99
2015-07-14,110.74
2015-07-15,110.16
2015-07-16,109.76
2015-07-17,108.65
2015-07-20,105.7
2015-07-21,105.37
2015-07-22,104.8
2015-07-23,104.33
2015-07-24,105.35
2015-07-27,104.86
2015-07-28,105.02
2015-07-29,105.17
2015-07-30,104.27
2015-07-31,104.93
2015-08-03,104.1
2015-08-04,104.31
2015-08-05,103.93
2015-08-06,104.39
2015-08-07,104.65
2015-08-10,105.72
2015-08-11,106.26
2015-08-12,107.75
2015-08-13,106.86
2015-08-14,106.85
2015-08-17,107.13
2015-08-18,107.11
2015-08-19,108.55
2015-08-20,110.44
2015-08-21,111.13
2015-08-24,110.53
2015-08-25,109.16
2015-08-26,107.67
2015-08-27,107.73
2015-08-28,108.7
2015-08-31,108.82
2015-09-01,109.2
2015-09-02,108.62
2015-09-03,107.84
2015-09-04,107.49
2015-09-08,107.52
2015-09-09,106.13
2015-09-10,106.38
2015-09-11,106.16
2015-09-14,106.22
2015-09-15,105.9
2015-09-16,107.31
2015-09-17,108.41
2015-09-18,109.21
2015-09-21,108.53
2015-09-22,107.79
2015-09-23,108.22
2015-09-24,110.49
2015-09-25,109.81
2015-09-28,108.42
2015-09-29,107.98
2015-09-30,106.86
2015-10-01,106.73
2015-10-02,108.99
2015-10-05,108.77
2015-10-06,109.86
2015-10-07,109.7
2015-10-08,109.14
2015-10-09,110.87
2015-10-12,111.31
2015-10-13,111.86
2015-10-14,113.81
2015-10-15,113.29
2015-10-16,112.49
2015-10-19,112.02
2015-10-20,112.73
2015-10-21,111.73
2015-10-22,111.69
2015-10-23,111.5
2015-10-26,111.43
2015-10-27,111.68
2015-10-28,110.78
2015-10-29,109.72
2015-10-30,109.3
2015-11-02,108.59
2015-11-03,106.98
2015-11-04,105.97
2015-11-05,105.64
2015-11-06,104.1
2015-11-09,104.4
2015-11-10,104.18
2015-11-11,103.83
2015-11-12,103.85
2015-11-13,103.56
2015-11-16,103.71
2015-11-17,102.34
2015-11-18,102.43
2015-11-19,103.56
2015-11-20,103.09
2015-11-23,102.26
2015-11-24,102.94
2015-11-25,102.46
2015-11-27,101.25
2015-11-30,101.92
2015-12-01,102.28
2015-12-02,100.69
2015-12-03,101.76
2015-12-04,104.02
2015-12-07,102.67
2015-12-08,102.84
2015-12-09,102.64
2015-12-10,102.55
2015-12-11,103.11
2015-12-14,101.79
2015-12-15,101.52
2015-12-16,102.75
2015-12-17,100.5
2015-12-18,102.04
2015-12-21,103.15
2015-12-22,102.61
2015-12-23,102.31
2015-12-24,103.05
2015-12-28,102.27
2015-12-29,102.2
2015-12-30,101.42
2015-12-31,101.46
2016-01-04,102.89
2016-01-05,103.18
2016-01-06,104.67
2016-01-07,106.15
2016-01-08,105.68
2016-01-11,104.74
2016-01-12,104.21
2016-01-13,104.72
2016-01-14,103.02
2016-01-15,104.08
2016-01-19,103.98
2016-01-20,105.37
2016-01-21,105.49
2016-01-22,105.0
2016-01-25,106.08
2016-01-26,107.29
