Date,Price
2015-01-02,6547.8
2015-01-05,6417.2
2015-01-06,6366.5
2015-01-07,6419.8
2015-01-08,6570.0
2015-01-09,6501.1
2015-01-12,6501.4
2015-01-13,6542.2
2015-01-14,6388.5
2015-01-15,6498.8
2015-01-16,6550.3
2015-01-19,6585.5
2015-01-20,6620.1
2015-01-21,6728.0
2015-01-22,6796.6
2015-01-23,6832.8
2015-01-26,6852.4
2015-01-27,6811.6
2015-01-28,6825.9
2015-01-29,6810.6
2015-01-30,6749.4
2015-02-02,6782.6
2015-02-03,6871.8
2015-02-04,6860.0
2015-02-05,6865.9
2015-02-06,6853.4
2015-02-09,6837.2
2015-02-10,6829.1
2015-02-11,6818.2
2015-02-12,6828.1
2015-02-13,6873.5
2015-02-16,6857.1
2015-02-17,6898.1
2015-02-18,6898.1
2015-02-19,6888.9
2015-02-20,6915.2
2015-02-23,6912.2
2015-02-24,6949.6
2015-02-25,6935.4
2015-02-26,6949.7
2015-02-27,6946.7
2015-03-02,6940.6
2015-03-03,6889.1
2015-03-04,6919.2
2015-03-05,6961.1
2015-03-06,6911.8
2015-03-09,6876.5
2015-03-10,6702.8
2015-03-11,6721.5
2015-03-12,6761.1
2015-03-13,6740.6
2015-03-16,6804.1
2015-03-17,6837.6
2015-03-18,6945.2
2015-03-19,6962.3
2015-03-20,7022.5
2015-03-23,7037.7
2015-03-24,7019.7
2015-03-25,6991.0
2015-03-26,6895.3
2015-03-27,6855.0
2015-03-30,6891.4
2015-03-31,6773.0
2015-04-01,6809.5
2015-04-02,6833.5
2015-04-07,6961.8
2015-04-08,6937.4
2015-04-09,7015.4
2015-04-10,7089.8
2015-04-13,7064.3
2015-04-14,7075.3
2015-04-15,7096.8
2015-04-16,7060.5
2015-04-17,6994.6
2015-04-20,7052.1
2015-04-21,7062.9
2015-04-22,7028.2
2015-04-23,7053.7
2015-04-24,7070.7
2015-04-27,7104.0
2015-04-28,7030.5
2015-04-29,6946.3
2015-04-30,6960.6
2015-05-01,6986.0
2015-05-05,6927.6
2015-05-06,6933.7
2015-05-07,6887.0
2015-05-08,7046.8
2015-05-11,7029.9
2015-05-12,6933.8
2015-05-13,6949.6
2015-05-14,6973.0
2015-05-15,6960.5
2015-05-18,6968.9
2015-05-19,6995.1
2015-05-20,7007.3
2015-05-21,7013.5
2015-05-22,7031.7
2015-05-26,6949.0
2015-05-27,7033.3
2015-05-28,7040.9
2015-05-29,6984.4
2015-06-01,6953.6
2015-06-02,6928.3
2015-06-03,6950.5
2015-06-04,6859.2
2015-06-05,6804.6
2015-06-08,6790.0
2015-06-09,6753.8
2015-06-10,6830.3
2015-06-11,6846.7
2015-06-12,6784.9
2015-06-15,6710.5
2015-06-16,6710.1
2015-06-17,6680.6
2015-06-18,6707.9
2015-06-19,6710.5
2015-06-22,6825.7
2015-06-23,6834.9
2015-06-24,6844.8
2015-06-25,6807.8
2015-06-26,6753.7
2015-06-29,6620.5
2015-06-30,6521.0
2015-07-01,6608.6
2015-07-02,6630.5
2015-07-03,6585.8
2015-07-06,6535.7
2015-07-07,6432.2
2015-07-08,6490.7
2015-07-09,6581.6
2015-07-10,6673.4
2015-07-13,6738.0
2015-07-14,6753.8
2015-07-15,6753.8
2015-07-16,6796.5
2015-07-17,6775.1
2015-07-20,6788.7
2015-07-21,6769.1
2015-07-22,6667.3
2015-07-23,6655.0
2015-07-24,6579.8
2015-07-27,6505.1
2015-07-28,6555.3
2015-07-29,6631.0
2015-07-30,6668.9
2015-07-31,6696.3
2015-08-03,6688.6
2015-08-04,6686.6
2015-08-05,6752.4
2015-08-06,6747.1
2015-08-07,6718.5
2015-08-10,6736.2
2015-08-11,6664.5
2015-08-12,6571.2
2015-08-13,6568.3
2015-08-14,6550.7
2015-08-17,6550.3
2015-08-18,6526.3
2015-08-19,6403.5
2015-08-20,6367.9
2015-08-21,6187.7
2015-08-24,5898.9
2015-08-25,6081.3
2015-08-26,5979.2
2015-08-27,6192.0
2015-08-28,6247.9
2015-09-01,6058.5
2015-09-02,6083.3
2015-09-03,6194.1
2015-09-04,6042.9
2015-09-07,6074.5
2015-09-08,6146.1
2015-09-09,6229.0
2015-09-10,6155.8
2015-09-11,6117.8
2015-09-14,6084.6
2015-09-15,6137.6
2015-09-16,6229.2
2015-09-17,6187.0
2015-09-18,6104.1
2015-09-21,6108.7
2015-09-22,5935.8
2015-09-23,6032.2
2015-09-24,5961.5
2015-09-25,6109.0
2015-09-28,5958.9
2015-09-29,5909.2
2015-09-30,6061.6
2015-10-01,6072.5
2015-10-02,6130.0
2015-10-05,6298.9
2015-10-06,6326.2
2015-10-07,6336.4
2015-10-08,6374.8
2015-10-09,6416.2
2015-10-12,6371.2
2015-10-13,6342.3
2015-10-14,6269.6
2015-10-15,6338.7
2015-10-16,6378.0
2015-10-19,6352.3
2015-10-20,6345.1
2015-10-21,6348.4
2015-10-22,6376.3
2015-10-23,6444.1
2015-10-26,6417.0
2015-10-27,6365.3
2015-10-28,6437.8
2015-10-29,6395.8
2015-10-30,6361.1
2015-11-02,6361.8
2015-11-03,6383.6
2015-11-04,6412.9
2015-11-05,6364.9
2015-11-06,6353.8
2015-11-09,6295.2
2015-11-10,6275.3
2015-11-11,6297.2
2015-11-12,6178.7
2015-11-13,6118.3
2015-11-16,6146.4
2015-11-17,6268.8
2015-11-18,6279.0
2015-11-19,6329.9
2015-11-20,6334.6
2015-11-23,6305.5
2015-11-24,6277.2
2015-11-25,6337.6
2015-11-26,6393.1
2015-11-27,6375.2
2015-11-30,6356.1
2015-12-01,6395.7
2015-12-02,6420.9
2015-12-03,6275.0
2015-12-04,6238.3
2015-12-07,6223.5
2015-12-08,6135.2
2015-12-09,6126.7
2015-12-10,6088.1
2015-12-11,5952.8
2015-12-14,5874.1
2015-12-15,6017.8
2015-12-16,6061.2
2015-12-17,6102.5
2015-12-18,6052.4
2015-12-21,6034.8
2015-12-22,6083.1
2015-12-23,6241.0
2015-12-24,6254.6
2015-12-29,6314.6
2015-12-30,6274.1
2015-12-31,6242.3
2016-01-04,6093.4
2016-01-05,6137.2
2016-01-06,6073.4
2016-01-07,5954.1
2016-01-08,5912.4
2016-01-11,5871.8
2016-01-12,5929.2
2016-01-13,5961.0
2016-01-14,5918.2
2016-01-15,5804.1
2016-01-18,5779.9
2016-01-19,5876.8
2016-01-20,5673.6
2016-01-21,5773.8
2016-01-22,5900.0
2016-01-25,5877.0
2016-01-26,5911.5
2016-01-27,5990.4
2016-01-28,5931.8
2016-01-29,6083.8
2016-02-01,6060.1
2016-02-02,5922.0
2016-02-03,5837.1
2016-02-04,5898.8
2016-02-05,5848.1
2016-02-08,5689.4
2016-02-09,5632.2
2016-02-10,5672.3
2016-02-11,5537.0
2016-02-12,5707.6
2016-02-15,5824.3
2016-02-16,5862.2
2016-02-17,6030.3
2016-02-18,5972.0
2016-02-19,5950.2
2016-02-22,6037.7
2016-02-23,5962.3
2016-02-24,5867.2
2016-02-25,6012.8
2016-02-26,6096.0
2016-02-29,6097.1
2016-03-01,6152.9
2016-03-02,6147.1
2016-03-03,6130.5
2016-03-04,6199.4
2016-03-07,6182.4
2016-03-08,6125.4
2016-03-09,6146.3
2016-03-10,6036.7
2016-03-11,6139.8
2016-03-14,6174.6
2016-03-15,6140.0
2016-03-16,6175.5
2016-03-17,6201.1
2016-03-18,6189.6
2016-03-21,6184.6
2016-03-22,6192.7
2016-03-23,6199.1
2016-03-24,6106.5
2016-03-29,6105.9
2016-03-30,6203.2
2016-03-31,6174.9
2016-04-01,6146.1
2016-04-04,6164.7
2016-04-05,6091.2
2016-04-06,6161.6
2016-04-07,6136.9
2016-04-08,6204.4
2016-04-11,6200.1
2016-04-12,6242.4
2016-04-13,6362.9
2016-04-14,6365.1
2016-04-15,6343.8
2016-04-18,6353.5
2016-04-19,6405.4
2016-04-20,6410.3
2016-04-21,6381.4
2016-04-22,6310.4
2016-04-25,6260.9
2016-04-26,6284.5
2016-04-27,6319.9
2016-04-28,6322.4
2016-04-29,6241.9
2016-05-03,6185.6
2016-05-04,6112.0
2016-05-05,6117.3
2016-05-06,6125.7
2016-05-09,6114.8
2016-05-10,6156.7
2016-05-11,6162.5
2016-05-12,6104.2
2016-05-13,6138.5
2016-05-16,6151.4
2016-05-17,6167.8
2016-05-18,6165.8
2016-05-19,6053.4
2016-05-20,6156.3
2016-05-23,6136.4
2016-05-24,6219.3
2016-05-25,6262.9
2016-05-26,6265.7
2016-05-27,6270.8
2016-05-31,6230.8
2016-06-01,6191.9
2016-06-02,6185.6
2016-06-03,6209.6
2016-06-06,6273.4
2016-06-07,6284.5
2016-06-08,6301.5
2016-06-09,6231.9
2016-06-10,6115.8
2016-06-13,6045.0
2016-06-14,5923.5
2016-06-15,5966.8
2016-06-16,5950.5
2016-06-17,6021.1
2016-06-20,6204.0
2016-06-21,6226.6
2016-06-22,6261.2
2016-06-23,6338.1
2016-06-24,6138.7
2016-06-27,5982.2
2016-06-28,6140.4
2016-06-29,6360.1
2016-06-30,6504.3
2016-07-01,6577.8
2016-07-04,6522.3
2016-07-05,6545.4
2016-07-06,6463.6
2016-07-07,6533.8
2016-07-08,6590.6
2016-07-11,6682.9
2016-07-12,6680.7
2016-07-13,6670.4
2016-07-14,6654.5
2016-07-15,6669.2
2016-07-18,6695.4
2016-07-19,6697.4
2016-07-20,6729.0
2016-07-21,6699.9
2016-07-22,6730.5
2016-07-25,6710.1
2016-07-26,6724.0
2016-07-27,6750.4
2016-07-28,6721.1
2016-07-29,6724.4
2016-08-01,6694.0
2016-08-02,6645.4
2016-08-03,6634.4
2016-08-04,6740.2
2016-08-05,6793.5
2016-08-08,6809.1
2016-08-09,6851.3
2016-08-10,6866.4
2016-08-11,6914.7
2016-08-12,6916.0
2016-08-15,6941.2
2016-08-16,6893.9
2016-08-17,6859.2
2016-08-18,6869.0
2016-08-19,6859.0
2016-08-22,6828.5
2016-08-23,6868.5
2016-08-24,6835.8
2016-08-25,6816.9
2016-08-26,6838.1
2016-08-30,6820.8
2016-08-31,6781.5
2016-09-01,6746.0
2016-09-02,6894.6
2016-09-05,6879.4
2016-09-06,6826.1
2016-09-07,6846.6
2016-09-08,6858.7
2016-09-09,6777.0
2016-09-12,6700.9
2016-09-13,6665.6
2016-09-14,6673.3
2016-09-15,6730.3
2016-09-16,6710.3
2016-09-19,6813.6
2016-09-20,6830.8
2016-09-21,6834.8
2016-09-22,6911.4
2016-09-23,6909.4
2016-09-26,6818.0
2016-09-27,6807.7
2016-09-28,6849.4
2016-09-29,6919.4
2016-09-30,6899.3
2016-10-03,6983.5
2016-10-04,7074.3
2016-10-05,7033.3
2016-10-06,7000.0
2016-10-07,7044.4
2016-10-10,7097.5
2016-10-11,7070.9
2016-10-12,7024.0
2016-10-13,6977.7
2016-10-14,7013.6
2016-10-17,6947.6
2016-10-18,7000.1
2016-10-19,7021.9
2016-10-20,7026.9
2016-10-21,7020.5
2016-10-24,6986.4
2016-10-25,7017.6
2016-10-26,6958.1
2016-10-27,6986.6
2016-10-28,6996.3
2016-10-31,6954.2
2016-11-01,6917.1
2016-11-02,6845.4
2016-11-03,6790.5
2016-11-04,6693.3
2016-11-07,6806.9
2016-11-08,6843.1
2016-11-09,6911.8
2016-11-10,6828.0
2016-11-11,6730.4
2016-11-14,6753.2
2016-11-15,6792.7
2016-11-16,6749.7
2016-11-17,6794.7
2016-11-18,6775.8
2016-11-21,6778.0
2016-11-22,6819.7
2016-11-23,6817.7
2016-11-24,6829.2
2016-11-25,6840.8
2016-11-28,6799.5
2016-11-29,6772.0
2016-11-30,6783.8
2016-12-01,6752.9
2016-12-02,6730.7
2016-12-05,6746.8
2016-12-06,6779.8
2016-12-07,6902.2
2016-12-08,6931.6
2016-12-09,6954.2
2016-12-12,6890.4
2016-12-13,6968.6
2016-12-14,6949.2
2016-12-15,6999.0
2016-12-16,7011.6
2016-12-19,7017.2
2016-12-20,7044.0
2016-12-21,7041.4
2016-12-22,7063.7
2016-12-23,7068.2
2016-12-28,7106.1
2016-12-29,7120.3
2016-12-30,7142.8
2017-01-03,7177.9
2017-01-04,7189.7
2017-01-05,7195.3
2017-01-06,7210.1
2017-01-09,7237.8
2017-01-10,7275.5
2017-01-11,7290.5
2017-01-12,7292.4
2017-01-13,7337.8
2017-01-16,7327.1
2017-01-17,7220.4
2017-01-18,7247.6
2017-01-19,7208.4
2017-01-20,7198.4
2017-01-23,7151.2
2017-01-24,7150.3
2017-01-25,7164.4
2017-01-26,7161.5
2017-01-27,7184.5
2017-01-30,7118.5
2017-01-31,7099.2
2017-02-01,7107.7
2017-02-02,7140.8
2017-02-03,7188.3
2017-02-06,7172.2
2017-02-07,7186.2
2017-02-08,7188.8
2017-02-09,7229.5
2017-02-10,7258.8
2017-02-13,7278.9
2017-02-14,7268.6
2017-02-15,7302.4
2017-02-16,7277.9
2017-02-17,7300.0
2017-02-20,7299.9
2017-02-21,7274.8
2017-02-22,7302.3
2017-02-23,7271.4
2017-02-24,7243.7
2017-02-27,7253.0
2017-02-28,7263.4
2017-03-01,7382.9
2017-03-02,7382.4
2017-03-03,7374.3
2017-03-06,7350.1
2017-03-07,7339.0
2017-03-08,7334.6
2017-03-09,7315.0
2017-03-10,7343.1
2017-03-13,7367.1
2017-03-14,7357.9
2017-03-15,7368.6
2017-03-16,7416.0
2017-03-17,7425.0
2017-03-20,7429.8
2017-03-21,7378.3
2017-03-22,7324.7
2017-03-23,7340.7
2017-03-24,7336.8
2017-03-27,7293.5
2017-03-28,7343.4
2017-03-29,7373.7
2017-03-30,7369.5
2017-03-31,7322.9
2017-04-03,7282.7
2017-04-04,7321.8
2017-04-05,7331.7
2017-04-06,7303.2
2017-04-07,7349.4
2017-04-10,7348.9
2017-04-11,7365.5
2017-04-12,7349.0
2017-04-13,7327.6
2017-04-18,7147.5
2017-04-19,7114.4
2017-04-20,7118.5
2017-04-21,7114.6
2017-04-24,7264.7
2017-04-25,7275.6
2017-04-26,7288.7
2017-04-27,7237.2
2017-04-28,7203.9
2017-05-02,7250.1
2017-05-03,7234.5
2017-05-04,7248.1
2017-05-05,7297.4
2017-05-08,7300.9
2017-05-09,7342.2
2017-05-10,7385.2
