Date,VFC,INLX,INVO,IONM,IONQ
2019-01-02,67.18,5.0,262.4,537.84,
2019-01-03,65.21,5.0,268.8,537.84,
2019-01-04,67.45,5.5,326.4,537.84,
2019-01-07,68.72,5.5,307.2,537.84,
2019-01-08,70.25,5.5,288.0,574.92,
2019-01-09,70.4,5.5,288.0,630.0,
2019-01-10,69.34,5.5,281.6,630.0,
2019-01-11,67.29,5.5,268.8,630.0,
2019-01-14,67.45,5.5,288.0,630.0,
2019-01-15,67.85,5.5,272.64,630.0,
2019-01-16,67.72,5.5,307.04,651.24,
2019-01-17,68.98,5.5,281.6,626.76,
2019-01-18,77.53,5.5,287.84,626.76,
2019-01-22,77.0,5.5,288.0,626.76,
2019-01-23,78.05,6.0,265.92,626.76,
2019-01-24,78.47,6.0,279.36,626.76,
2019-01-25,78.63,5.5,320.0,731.88,
2019-01-28,78.81,5.5,320.0,810.0,
2019-01-29,79.17,5.5,288.0,824.4,
2019-01-30,79.67,5.5,288.0,799.2,
2019-01-31,79.26,5.5,288.0,824.4,
2019-02-01,79.31,6.5,268.8,824.4,
2019-02-04,80.09,6.5,288.0,824.4,
2019-02-05,80.73,6.5,300.8,763.2,
2019-02-06,81.42,6.5,288.0,828.0,
2019-02-07,81.02,6.0,320.0,829.8,
2019-02-08,80.77,6.0,320.0,828.0,
2019-02-11,80.5,6.0,294.4,811.44,
2019-02-12,81.58,6.0,313.6,797.76,
2019-02-13,81.43,6.5,307.2,797.76,
2019-02-14,80.95,6.5,307.2,795.6,
2019-02-15,81.83,6.5,288.0,810.0,
2019-02-19,81.67,6.0,288.0,792.0,
2019-02-20,81.33,6.0,288.0,790.92,
2019-02-21,80.79,6.0,303.36,792.0,
2019-02-22,81.45,6.5,300.8,774.0,
2019-02-25,81.89,6.5,300.58,788.76,
2019-02-26,82.23,6.0,300.22,763.2,
2019-02-27,82.61,6.0,284.19,763.2,
2019-02-28,82.26,6.0,284.16,774.0,
2019-03-01,82.18,6.0,294.4,763.2,
2019-03-04,80.84,6.5,268.8,756.0,
2019-03-05,80.52,6.5,281.6,720.0,
2019-03-06,80.41,6.5,262.4,715.32,
2019-03-07,80.04,6.5,268.8,720.0,
2019-03-08,79.29,6.5,261.12,684.0,
2019-03-11,80.15,5.5,262.4,702.0,
2019-03-12,79.83,6.5,268.8,702.0,
2019-03-13,80.08,6.5,275.2,702.0,
2019-03-14,79.98,6.5,275.2,702.0,
2019-03-15,79.83,6.5,274.88,705.6,
2019-03-18,81.04,6.5,281.6,705.6,
2019-03-19,81.46,6.5,274.56,705.6,
2019-03-20,79.96,6.5,271.68,705.6,
2019-03-21,80.83,6.5,262.4,705.6,
2019-03-22,78.83,6.5,270.11,459.0,
2019-03-25,79.58,6.5,281.6,453.6,
2019-03-26,80.05,6.5,275.2,442.8,
